Response ID:,Submitting author name:,Proposal title:,Background/Rationale: ,Study aims/Hypothesis: ,Study variables: ,Proposed analysis:,Significance of research:
OND20171121AT,Angie Troyer,Assessing Vascular Cognitive Impairment with the Montreal Cognitive Assessment,"The Montreal Cognitive Assessment (MoCA) has been found to be generally sensitive to post-stroke cognitive impairment (Koski, 2013 for a review). Content validity evidence suggest that the MoCA covers most of the domains that represent cognitive impairment in cerebrovascular disease; visuospatial and executive functions (Koski et al 2013, Boci et al  2013), and is more sensitive to mild cognitive deficits compared to the MMSE.  However, a recent study found that the MoCA administered within 3 months post-stroke did not detect 78% of patients who showed impairment on neuropsychological assessment in at least one cognitive domain (Chan et al., 2014). This suggests that the MoCA may be sensitive at detecting global cognitive impairment, but less sensitive at detecting impairment within specific domains. In particular, impairment was detected in the domains of general intelligence, information processing speed, and visual memory which are areas not assessed by the MoCA. We propose an extension of this study by examining stroke patients in the non-acute stage (> 3 months) from the ONDRI vascular cognitive impairment (VCI) cohort. We will compare neuropsychological assessment scores between those showing MoCA scores that are intact (i.e., >25; N=86) vs. impaired (i.e., 18-25; N=67). ","The study aim is to compare VCI patients with high vs. low MoCA scores to determine how the MoCA score for post-stroke patients compares to a more extensive neuropsychological battery in post-stroke patients with and without cognitive impairment. Specifically, we will:  1.	Determine the sensitivity and specificity of the MoCA (at various cut-off points) in identifying cognitive impairment as measured with a full neuropsychology battery; and determine whether more detailed MoCA scoring and/or additional screening measures improve the sensitivity/specificity of identifying cognitive impairment  2.	Examine whether the two groups (high vs. low MoCA) differ on the cognitive domains that are assessed by the MoCA (i.e., executive functioning, visuospatial, verbal memory, naming) versus not assessed by the MoCA (i.e., general intelligence, information processing speed, visual memory)  3.	Identify whether any demographic or stroke characteristics relate to differences on the MoCA and neuropsychological assessment scores ","•	VCI participant demographic (e.g., age, sex, past/previous occupation) and clinical information (e.g., date of last stroke, location of stroke, MoCA scores)   •	Neuropsychological test data from the following domains: IQ, attention/working memory/processing speed, complex attention/executive, memory, metacognition/functional  ","1.	ANOVAs to compare the high vs. low MoCA groups on the specified domains  2.	ANOVAs to compare the high vs. low MoCA groups on demographic and stroke characteristics  Correlations of test scores with demographic and stroke characteristics",This study would capitalize on the design of ONDRI in which both MoCA and neuropsychological assessment scores are available for patients who had a stroke more than 3 months ago. Implications of the study include identification of those who show specific cognitive impairment that may not be detected by global screening assessments like the MoCA. It could also help further define the neuropsychological profile of vascular cognitive impairment patients and better understand accuracy and limitations of MoCA in VCI.  This study may help identify other neuropsychological measures that could be administered alongside the MoCA to further strengthen the ability to detect post-stroke impairments in specific domains. Identification of these patients is important to inform appropriate rehabilitation.
OND20171205GM,Graham McCreath,Kidney function and post-stroke cognitive impairment,"Chronic kidney disease (CKD) is a progressive and long-term loss of kidney function primarily caused by hypertension and diabetes. Already an established risk factor for cardiovascular disease, stroke, and dementia, accumulating evidence suggests that CKD can independently predict the presence and severity of cerebral small vessel disease, possibly due to shared anatomic and vasoregulatory features of the brain and kidneys (Makin et al., 2015). CKD has been consistently associated with poorer cognitive function in individuals without previous stroke, partly via the high prevalence of cerebral small vessel disease (Toyoda, 2015). In contrast, only two studies to date (conducted with Japanese and Israeli populations, respectively) have explored the effect of CKD on post-stroke cognition (Auriel et al., 2016; Yamamoto et al., 2011). The ONDRI dataset presents a unique and important opportunity to examine the interrelation of CKD, markers of cerebral small vessel disease, and post-stroke cognitive impairment in a Canadian sample. Expanding on past studies, the proposed study will include a more detailed neuropsychological evaluation and will also examine interactions with ApoE4 status.","In the VCI cohort, CKD will be identified on the basis of serum creatinine concentration, which is included in the ONDRI lab assessment. Associations between CKD severity, cognitive performance, and radiological markers of cerebral small vessel disease (i.e., atrophy, white matter hyperintensities, lacunes, and microbleeds) will then be examined. We expect CKD severity to be associated with greater cerebral small vessel disease burden and worse cognitive performance, particularly in domains most susceptible to small vessel pathology, such as processing speed and executive functions.","-Clinical variables, including demographic data (age, sex, years of education, ethnicity), medical/surgical history (time since index stroke, infarct size & location, CVD diagnostic history), concomitant medications (use of antihypertensive or antihyperglycemic medication), vital signs, weight and height, complete blood count results (creatinine, lipid profile, glucose, glycosylated hemoglobin), smoking history, National Institutes of Health Stroke Scale (NIHSS), and Montreal Cognitive Assessment (MoCA), modified Rankin Scale (mRS), and Quick Inventory of Depressive Symptomatology (QIDS)  -Genomic data (ApoE4 allele status only)  -Neuropsychology  -Neuroimaging (T1-weighted, PD/T2-weighted, gradient echo, and FLAIR sequences only)  ","Associations between CKD severity, cognitive performance, and features of small vessel pathology will be tested for using three sets of regression models. In the first model, unadjusted regression coefficients for CKD status will be calculated. Model 2 will account for age, sex, and education. Model 3 will further adjust for cardiovascular risk factors, such as hypertension, high cholesterol, smoking status, and diabetes. Mediation analyses will be used to assess the causal role of small vessel disease features in the pathway connecting CKD severity to cognitive impairment. Finally, interactions between CKD severity and ApoE4 status in predicting cognitive outcomes will be explored.","There is a strong need to identify factors beyond age and stroke severity that predict an individual's conversion from cognitively intact to cognitively impaired following stroke. The proposed study will investigate CKD, a potentially modifiable factor, which, if aggressively managed, might help maintain cognitive status and quality of life following stroke. The proposed study will also examine the utility of kidney function as a proxy for cerebral small vessel disease burden."
OND20171222RC,Richard W. Cheng,Evaluating Drusen and Spectral Domain Optical Coherence Tomography (SD-OCT) measurements obtained from participants enrolled in the Ontario Neurodegenerative Disease Research Initiative (ONDRI) study,"The Ontario Neurodegenerative Disease Research Initiative (ONDRI) is investigating retinal macular thickness and volume in neurodegenerative disease using SD-OCT. Drusen, which is the main structural change seen in age related macular degeneration (AMD), is commonly seen in the elderly, and has been shown to influence retinal macular thickness and volume (Rogala et al., 2015; Gella et al., 2015; Farsiu et al., 2014; Garas et al., 2011; Wood et al., 2011). However, there are discrepancies in the literature regarding how drusen affects these parameters.","1.	To investigate, using our definition of retinal thickness as well as clinical demographics, whether drusen (or RPE thickness as a surrogate) affect macular thickness and volume outcome measures in PD and AD patients.  2. To establish guidelines for interpreting macular thickness in PD and AD participants with drusen.","1. Total Retinal Thickness and Volume in each sector of ETDRS grid (Posterior Pole Scan)  2. RPE Thickness in each sector of the ETDRS grid (Posterior Pole Scan)  3. Drusen Parameters (Posterior Pole Scan): Location: # Sectors in ETDRS Grid, Size, Height (h), Width (w), Thickness of retina at site of maximal druse height (from ILM to Bruch's Membrane), Total Volume of Drusen V: measured using semi-ellipsoid volume equation using height, width, and B-scan separation (l) parameters and summed for all drusen peaks (n))  4. Clinical Demographics: Age, Sex, visual acuity, Medications (Levodopa), length of time since diagnosis of disease",To be further discussed with biostatistician platform.   Study Groups:  Drusen PD and AD Group; Non-Drusen PD and AD Group  Study Variable #1: To compare (a)average retinal thickness and (b)retinal volume between PD and AD participants with and without drusen   Study Variable #2:  Correlate drusen volume with retinal thickness  Druse Volume vs Retinal Thickness at location of druse (grouped by ETDRS sector) as measured in B-scans   Study Variable #3: Correlate drusen volume with RPE thickness  Drusen volume vs RPE thickness (grouped by ETDRS sector)  Study Variable #4: Establish a drusen score cutoff at which we find a statistically significant difference in retinal thickness as compared to controls,The results of this study will clarify whether drusen statistically and clinically significantly affect retinal thickness and volume.
OND20180105PM,Paula McLaughlin,The Utility of the MoCA across PD-MCI Subtypes,"The Montreal-Cognitive Assessment (MoCA) is a screening tool shown to have high sensitivity (90%) and specificity (87%) for detecting mild cognitive impairment (MCI) when using a suggested cut-off score of 26 (Nasreddine et al., 2005). Although the MoCA was originally designed to detect early cognitive difficulties in individuals at risk of developing Alzheimer's disease, this task is currently used across many clinical populations and in a variety of settings. In relation to Parkinson's disease (PD), the MoCA has previously been shown to be effective at detecting MCI and at predicting cognitive decline (e.g., Kandiah et al., 2014). However, little is known about the sensitivity and specificity of the MoCA at detecting cognitive impairment across PD-MCI subtypes. As the PD-MCI subtypes are associated with unique clinical features (Goldman & Litvan, 2011) and have distinct trajectories of cognitive decline (Janvin et al., 2006), it is important to determine the utility of the MoCA as a cognitive screening tool across these PD subgroups.",The main objective is to determine the utility of the MoCA at detecting cognitive impairment across PD-MCI subtypes against a MDS Task Force - Level II Neuropsychological Assessment. Study will also explore the use of multiple MoCA cut-off scores to optimize utility of tool.,"Clinical Platform: MoCA (total, item responses), participant demographics, disease-specific history, medications, MDS-UPDRS, Modified Hoehn And Yahr, SCOPA-AUT, FOG-Q, Schwab And England (ADL).    Neuropsychology Platform Data: Minimum Dataset (including iADLs, ADLs measures); Short-IQ CODE-self and other (subjective cognitive change).  ",Descriptive statistics; Classification (sensitivity and specificity) analyses of the MoCA.,"Identifying appropriate MoCA cut-offs across PD-MCI subtypes has important clinical utility, and could potentially impact how care is delivered in the clinic (i.e., identifying individuals who need to be followed more closely, or be referred for a full cognitive workup)."
OND20180108AK,Arunima Kapoor,Utility of MRI in the assessment of AD/MCI - findings from ONDRI study.,"Current diagnostic criteria for Alzheimer's disease (AD) or Mild Cognitive Impairment (MCI) specifically do not recommend magnetic resonance imaging (MRI) for the diagnostic workup since universally accepted quantitative biomarkers have not been established.  They refer to the presence of 'multiple or extensive infarcts or severe white matter hyperintensity burden' as exclusions, but without requiring MRI may be missing smaller amounts of vascular disease or other pathologies that could impact disease expression and progression. Current guidelines do not support routine MRI use and patients are therefore often diagnosed with MCI or AD using routine clinical history, cognitive testing and, frequently, CT scans. MRI can serve an important role in the diagnosis of AD or MCI by identifying comorbid pathologies that may alter treatment or prognosis. Subtle vascular disease (lacunar small vessel disease, small cortical infarcts, diffuse white matter changes) may impact presentation, and will have significant treatment implications (e.g. detection and treatment of vascular risk factors) that could alter long-term outcomes. Additionally, clinical trials in AD/MCI that use the McKhann criteria may not use MRI to exclude vascular disease, thus increasing heterogeneity within trials. This is a key consideration given the negative results of treatment trials.","AIMS: To determine 1) the frequency with which inclusion of clinical review of MRI results detects comorbid vascular and non-vascular pathologies that could impact clinical management or alter findings from clinical trials and 2) whether those with and without incidental findings have different degrees of cognitive impairment or brain atrophy.  HYPOTHESES:  In our cohort of participants screened in specialty geriatrics and memory clinics with thorough clinical assessments according to current diagnostic criteria, 1) there will be >5% of people with potentially important comorbid findings detected on MRI and 2) those with and without comorbid findings (vascular or non-vascular) will differ on measures of cognition, function or medial temporal / hippocampal atrophy.","1)	Study sample will include all ONDRI screened/consented patients who met diagnostic criteria for AD and MCI and completed an MRI scan.   2)	Patients with incidental findings will be identified.   3)	Demographic, neuropsychological and focal brain volume measures from patients with and without incidental findings    Dependent variables: % of AD/MCI patients with incidental MRI findings; age, sex, education differences between patients with and without incidental findings; neuropsychological, function and focal brain volume differences between patients with and without incidental findings    Independent variable: Incidental MRI finding","Proposed Analyses:  % = patients who met AD or MCI criteria and had incidental MRI findings/all patients who met AD/MCI diagnostic criteria       Differences in demographic, neuropsychological, functional and medial temporal/hippocampal brain volume measures between those with and without incidental findings will be examined using t-tests.",The current absence of magnetic resonance imaging results in the diagnosis criteria of AD/MCI limits detection of alternate or comorbid conditions that could influence management of AD/MCI as well as comorbid conditions. The results of this analysis could impact current diagnostic guidelines by highlighting the value of qualitative consideration of magnetic resonance imaging results in disease diagnosis and management.
OND20180117AD,Allison A. Dilliott,Association of APOE E4 with processing speed in individuals with vascular cognitive impairment.,"Vascular cognitive impairment (VCI) is characterized by cognitive decline resulting from stroke or cerebrovascular accident (Sun et al. Ann Transl Med. 2014). It is the second most common form of dementia, following Alzheimer's disease (AD) (Frances et al. World J Psychiatr. 2016). One of the most accepted genetic risk factors for AD is common variation in the apolipoprotein E gene (APOE); however, data are controversial regarding the association of this risk factor with the development of VCI (Skrobot et al. J Alzheimers Dis. 2016; Chai et al. J Alzheimers Dis. 2016; Baum et al. J Geriatr Psychiatry Neurol. 2007).   As a part of the Ontario Neurodegenerative Disease Research Initiative (ONDRI), all participants are screened for common variants in APOE, with particular interest in the risk alleles rs429358(CT) and rs7412(CT). These allele combinations allow for the determination of the APOE genotype, of which the E4/4 genotype is the strongest known risk factor for late-onset AD. In fact, even a single E4 allele has been associated with an elevated risk of AD (Saunders et al. Neurology. 1993). Further, presence of the E4 allele has been seen to decrease the processing speed of cognitively normal individuals (Luo et al. Brain Imaging Behav. 2016; Ready et al. Am J Alzheimers Dis Other Demen. 2011; O'Hara et al. J Am Geriatr Soc. 1998). However. the association with processing speed in individuals with AD is uncertain (van der Vlies et al. Dement Geriatr Cogn Disord. 2007; Morgen et al. Alzheimers Dement. 2014). Importantly, the studies have only obtained processing speed measures from a limited number of variables, most commonly by neuropsychology tests of executive functioning (Ready et al. Am J Alzheimers Dis Other Demen. 2011; van der Vlies et al. Dement Geriatr Cogn Disord. 2007).  While there is no consensus on whether the E4 allele increases risk of VCI, the effect of this risk allele on the processing speed of individuals with VCI has yet to be researched.   Previous analyses are planned to examine the functional parameters that can be used to assess an individual's processing speed (Chen et al., ONDRI publication proposal) and investigate the parameters' relationships with structural measures (Leontieva et al. ONDRI publication proposal). The functional parameters will be assessed with neuropsychological batteries, gait performance tasks, and eye tracking. Structural measures will include Magnetic Resonance Imaging (MRI) and Spectral Domain Optical Coherence Tomography (SD-OCT). In this paper, we will determine whether these parameters and measures are associated with the APOE E4 allele within the ONDRI VCI cohort, therefore indicating a possibility of APOE E4 being a driving risk factor for impaired processing speed.  ","We aim to investigate the relationship between APOE E4 and functional parameters (cognition, gait, eye movements) and structural measures (MRI, SD-OCT) in participants with vascular cognitive impairment.","Genomics:  APOE genotyping  Clinical:   Age, gender, ethnicity, education, systolic blood pressure, diastolic blood pressure, glycated hemoglobin (HbA1c), low density lipoprotein (LDL) cholesterol, high density lipoprotein (HDL) cholesterol, body-mass index (BMI), smoking, medications, time between stroke and assessment  Neuropsychology:  Scaled scores for Delis-Kaplan Executive Function System (DKEFs) Colour Word Interference Test: colour naming, word reading, inhibition, and inhibition/switch conditions, scaled scores for DKEFs Verbal Fluency Test, letter and category fluency, z-scores for Trail-Making Test A&B, z-score for Symbol Digit Modalities Test- coding  Gait:  Velocity (m/s) in preferred gait, dual task cost (%) serial 1, dual task cost (%) animal naming, dual task cost (%) serial 7, Capacity index (%).  Neuroimaging:  Magnetic Resonance Imaging (MRI) volumetrics  Diffusion tensor imaging (DTI), including fractional anisotrophy (FA) and mean diffusivity (MD).  Eye-Tracking:   Express saccades in the pro-saccade task (%), mean saccade reaction time (SRT) with regular latency in pro- and anti- saccade tasks, intra-subject variability in SRT expressed as the coefficient of variation (CV) in pro- and anti-saccade tasks  SD - OCT:   Peripapillary RNFL thickness OU.  ","Multivariate regression will be used to analyze the association between APOE E4 carrier status and the functional parameter and structural measure, including covariates such as age; sex; education level; and among others that may be affecting processing speed. ","Identifying associations between APOE E4 and functional processing speed deficits across multiple platforms and testing modalities will add confidence to the previous evidence of the risk allele's effect on cognitive processing. It will also be the first evaluation of these associations in individuals with VCI. Further, identifying associations between the E4 allele and structural measures that have also shown a relationship with the functional processing speed parameters could indicate that APOE is the driving risk factor in the disturbed neuronal circuit in VCI. This investigation will further our understanding of the effect of APOE in individuals who have experienced stroke; a positive finding will allow the E4 carrier status of an individual to possibly serve as a biomarker for disease progression."
OND20180123JR,Joel Ramirez,MRI-visible perivascular spaces in Parkinson's disease and other neurodegenerative diseases,"Previous work suggests that the presence of isolated MRI-visible perivascular spaces in the basal ganglia (BG-PVS), also known as 'Virchow-Robin' spaces, may be associated with different disease subtypes in Parkinson's disease (PD). Additionally, recent studies suggest that MRI-visible PVS may indicate poor cerebral glymphatic clearance, a process that clears waste products such as amyloid-beta from the brain in a sleep-dependant manner. Although not fully described in PD, recent studies have also demonstrated that BG-PVS burden is higher in vascular cognitive impairment (VCI) (likely due to hypertensive arteriopathy), while white matter PVS (WM-PVS) burden tends to be higher in Alzheimer's disease (AD) (possibly due to comorbid cerebral amyloid angiopathy and small vessel disease).     ","Aim 1. To determine if PVS burden is associated with particular PD clinical characteristics   Hypothesis: PD patients with high PVS burden are more likely to exhibit problems in some or all of the following domains: motor function, cognition, gait (including freezing and falls), depression, anxiety, psychiatric symptoms, autonomic function and quality of life.     Aim 2. To examine relationships between sleep quality in PD patients with BG- and WM-PVS  Hypothesis: a) Poor sleep assessed by the Pittsburgh Sleep Quality Index (PSQI) is independently associated with increased BG-PVS burden. (b) Increased WM-PVS are found in PD patients that carry the apolipoprotein E epsilon 4 allele (APOE E4), which may suggest comorbid amyloid pathology.    Pending ONDRI VCI and MCI/AD data release:  Aim 3. To examine differences in PVS burden between PD, AD and VCI   Hypothesis: PD will have the lowest PVS burden overall, AD will have greater WM-PVS burden, and VCI will have higher BG-PVS burden and higher PVS burden overall.    Pending ONDRI follow-up data release:  Aim 4. To examine cognitive changes in PD patients with and without PVS burden   Hypothesis: PD patients with higher PVS are at greater risk of cognitive decline and incident dementia. Baseline cross-sectional analysis will show that PVS are associated with poor visuospatial processing.    Note: Statistical power and PD spectrum representation may be increased depending on availability of additional PD data from other publicly available datasets (or internally available datasets with via UHN).","Structural Neuroimaging: PVS counts & volume, BPF, ST-TIV.12,13  Clinical: Basic demographics, PSQI, PD medications, MDS-UPDRS, QIDS, GAD-7, MoCA, H&Y, PDQ-39 (QoL), FOG-Q, Falls assessment, S&E, NPI-Q, Brief symptom inventory  Genomics: APOE-E4 status  Neuropsychology: Derived from principle component analysis corresponding to the following functions: speed, memory, language, simple attention, object perception, visuospatial processing.",1. Correlations  2. Linear regression  3. ANOVA for group differences  ,"MRI-visible PVS may be a useful biomarker to inform clinicians regarding disease subtype in PD patients, as well as potentially predict future cognitive decline.  Moreover, PVS differences in anatomical distribution and associations with APOE E4 between PD, VCI, and AD/MCI may indicate issues relating to comorbid hypertensive arteriopathy and/or cerebral amyloid angiopathy. Poor sleep quality may have a causal role in the development of protein elimination failure and opens the door for sleep and PVS as indicators of drainage impairment and nocturnal clearance of toxic metabolites such as amyloid-beta. ONDRI's comprehensive neuroimaging and clinical data allows us to assess how sleep and brain health are related in PD.  This work will have a significant impact on Ontarians as it will help guide clinical health targets for PD therapeutics to help reduce the impact of dementia related to Parkinson's disease."
OND20180124DB,Derek Beaton,Robust outlier detection for low and high dimensional neuroimaging data with principal components analysis and split-half resampling.,"Currently, many multivariate outlier/anomaly or robust techniques are fairly limited in their scope and function: most techniques require more observations than variables (n > p) and are limited to strictly continuous data. Only a small number of techniques currently address the former problem and allow for fewer observations than variables (n << p). For example, we currently use minimum covariance determinant (MCD; Rousseeuw & Van Driessen, 1999) and robust principal components analysis (RPCA; Candès et al., 2011).  MCD requires n > p, while RPCA is best used when  n << p. Both the MCD and RPCA approaches are either extensions of, or depend on the singular value decomposition (SVD).     Our goal is to create a technique adapted for data of any size (i.e., n > p or n << p). We propose to do so with principal components analysis (PCA) and split-half resampling (SHR). This novel framework allows for detection of outliers and robust estimates (in a low dimensional subspace). ","1.	We believe a more flexible framework than most of the current outlier detection frameworks can be established through PCA and SHR.  2.	This new technique will allow investigators within-and beyond-ONDRI to detect outliers in datasets of any size.     The purpose behind developing this technique is that it would eventually replace and/or extend the previous outlier detection methods for ONDRI because it generalizes outlier and anomaly detection in a way that overcomes the drawbacks of all previously mentioned techniques.",Resting state fMRI (rs-fMRI) and SABRE-LE data for the ADMCI and VCI groups. Possible clinical variables would be strictly limited to demographics. ,Develop a new technique to supplement and/or replace existing outlier techniques and robust inference methods.,"To ensure high quality data and inference we require methods that can identify outliers and/or make robust estimates but very few such techniques exist. Outliers are particularly problematic in ONDRI (and similar studies) where sample sizes are a fraction of the number of variables (e.g., resting state of a single cohort)."
OND20180125YC,Ying Chen,Lateralization effect of cortical strokes on saccade performance in the VCI cohort,"Pro- and anti-saccade tasks have become a popular research tool to assess sensory, motor and cognitive functions in neurodegenerative diseases. Different brain areas in the saccadic control circuitry are involved in the two types of tasks. Briefly, occipital and parietal cortices control pro-saccades, in contrast anti-saccades recruit frontal cortex. A contralateral control of saccadic movements is observed in some cortical regions, such as frontal eye field. However, how each of those cortical areas in the saccadic control circuit plays its role (having a contralateral or ipsilateral effect), and whether there are other cortical areas beyond the circuitry that also contribute to saccade control is still unknown. In VCI patients cortical infarcts at discrete locations have been observed. We propose this study to investigate whether there is lateralization effect on saccade performance, i.e., whether cortical stroke identified in a cortical region in one hemisphere, for example in left frontal cortex, will results impaired performance in saccades made to the opposite direction of the stroke location, in this case, increased saccadic reaction time for rightward saccades.","According to the parcellated 26 cortical regions, 13 in each hemisphere, from the structural MRI data using the SABRE (Semi-Automated Brain Region Extraction) technique,  1) First, we will categorize the VCI cohort into 6 groups, each of which includes patients with cortical strokes in one of the six cortices, i.e., left or right frontal, parietal and occipital cortex.   - We hypothesize that the groups with occipital strokes will have lateralization effect on saccade reaction time (SRT: the time from target onset to the first saccade), but not on direction error in both pro- and anti-saccade tasks.   - We hypothesize that the groups with parietal strokes will have lateralization effect on SRT in both tasks and maybe on direction error in the anti-saccade task, but not in the pro-saccade task.  - We hypothesize that the groups with frontal strokes will have lateralization effect on SRT and direction error in the anti-saccade task, but not in the pro-saccade task.   2) Second, we will further divide each of the parietal and frontal stroke groups into 2 sub-parietal groups, and 6 sub-frontal groups, and then find Talairach coordinates of those ROIs being the major parts of the neural circuitry controlling saccadic eye movements. In particular, there are four regions on each side of the parietal and frontal cortex, i.e., parietal eye field (PEF), frontal eye field (FEF), supplementary eye field (SEF) and dorsal lateral prefrontal cortex (DLPFC).  - We hypothesize that the groups with cortical infarcts in DLPFC will have lateralization effect on express direction error in the anti-saccade task.  - We hypothesize that the groups with cortical infarcts in FEF or SEF may have lateralization effect on regular direction error and SRT in the anti-saccade task.  - We hypothesize that the groups with cortical infarcts in PEF will have lateralization effect on regular direction error in the anti-saccade task and on SRT in both tasks.","Delta values (difference between right and left saccades) on saccade parameters are analyzed based on the location of cortical infarcts in VCI patients from structural MRI data. In particular, the variables include  1) Viable direction error rate on pro- and anti-saccades  2) Express and regular direction error rate on anti-saccades  3) Viable SRT on pro- and anti-saccades  4) Express and regular SRT on anti-saccades  5) Variability in SRT on pro- and anti-saccades  In addition, variables from the clinical platform: age, sex, education, stroke history",1) perform Wilcoxon signed-rank test between VCI patients and age-matched controls 2) using log-linear (Poisson) for variables 1 and 2 as outcomes 3) using general linear model for variables 3-5 as outcomes.,"By doing the delta analysis on these saccade parameters for VCI patients who have cortical strokes at a specified location, the dysfunction of that specific cortical region in the saccadic neural network will be discovered. Further, the neural mechanism of how those cortical regions contribute to the saccade control, i.e., an ipsilateral or contralateral effect, will be implicated."
OND20180227CF,Carina Fan,Individual differences in autobiographical memory and function in dementia,"We will investigate how individual differences in memory abilities relate to daily function in patients with age-related memory deficits. Autobiographical memory (AM) involves remembering information relevant to one's own life, including both personally experienced events (episodic memory) and personal factual knowledge (semantic memory). AM ability may be characterized as a continuum on which individuals vary at the trait level, analogous to personality or intelligence. At the extremes, individuals with highly superior autobiographical memory (HSAM) can richly and accurately recall almost all personal past events, whereas those with severely deficient autobiographical memory (SDAM) are unable to recall details from past experiences despite normal learning and memory for factual (i.e., semantic) information. Episodic memory is one of the first domains to decline in aging and in Alzheimer's disease, but little is known about the factors contributing to inter-individual variability in cognitive aging trajectories. We suggest that individual differences in AM abilities may play a role in determining functional outcomes in patients with Alzheimer's disease. ","We hypothesize that having low episodic AM abilities throughout life might actually confer an advantage in Alzheimer's disease and mild cognitive impairment (MCI). Individuals with SDAM can be healthy and function normally in day-to-day life and on traditional memory tests, as long as these tasks can be accomplished with non-episodic memory processes. This suggests that those with SDAM have developed alternative strategies to navigate daily life with limited access to episodic details; as such, they may experience less functional impairment after the onset of MCI or Alzheimer's, compared to individuals who must newly adjust to age- or disease-related decreases in episodic memory abilities. ","The mini Survey of Autobiographical Memory (SAM) will be our primary measure of AM ability. This questionnaire assesses self-reported episodic autobiographical, semantic, and spatial memory, as well as future prospection. We will use all of the neuropsychological measures to form a composite of neuropsychological functioning in Alzheimer's and MCI patients. In addition, we will use the SABRE-LE 3D T1-weighted structural MRI scans to assess individual differences in brain volumes. Our measures of daily functioning will include the Instrumental Activities of Daily Living measure (iADL), the Sheehan Disability Scale, and the WHO Quality of Life (WHO-QoL) questionnaire.","We will use multivariate dimension reduction techniques to determine the latent structure of the SAM in patients with Alzheimer's or MCI, and to form composite scores of neuropsychological performance and daily function. We will then use scores on each dimension of the SAM as moderator variables in a regression analysis predicting function from neuropsychological performance and brain volumes. ","The findings from this study will set the stage for future behavioural and neuroimaging research to examine the mechanisms underpinning individual differences in AM abilities and associated differences in cognitive aging and functional impairment. The main outcome of interest for this study is function in day-to-day life, yet individual differences in AM abilities may also translate to differences in more specific areas over time, such as decision making or problem solving. Uncovering how variability in AM across individuals relates to age-related cognitive and functional decline will help us better understand the mechanisms behind both AM and age-related memory decline. Furthermore, accounting for individual differences in AM and cognition allows for important progress to be made in understanding and predicting how individuals will function as they age. Knowledge resulting from this line of study can ultimately be used to develop new prevention, diagnosis, and treatment strategies for age-related cognitive impairment that will improve the quality of life of older adults. Given that ONDRI includes longitudinal assessments, this study will also open up the opportunity to directly examine individual trajectories over time - in other words, whether individuals with low AM abilities show less functional decline as they age compared to individuals with high AM. "
OND20180228JR,Joel Ramirez,Parkinson's disease and NOTCH3 genetic variation,"Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL) is an inherited monogenic small vessel disease caused by mutations in NOTCH3 which maps to the short arm of chromosome 19.[1-3] There is evidence that variants in this gene can rarely present with late onset, slowly progressive parkinsonism. These cases are generally not levodopa responsive, have more falls, and have more cognitive impairment (i.e. not typical for PD).[4] Moreover, a progressive supranuclear palsy (PSP)-like phenotype has been reported with NOTCH3 variants.[4,5]","Aim 1. To determine the prevalence of NOTCH3 variants in the ONDRI PD sample.   Hypothesis: Some ONDRI PD patients will carry rare, non-synonymous NOTCH3 variants.    If Aim 1 hypothesis is true, then depending on numbers:    Aim 2. To examine a) clinical b) neuropsychological and c) neuroimaging characteristics of  PD patients with and without NOTCH3 variants  Hypotheses: Compared to PD without NOTCH3 variants, PD+NOTCH3 will have:   a) Greater cognitive impairment, greater lower limb parkinsonism, less tremor, more freezing, more falls, urinary incontinence, reduced levodopa responsiveness, history of stroke/TIA/subcortical ischemic events, history of headaches/migraines, more apathy and depression, and higher homocysteine levels[6]  (b) Poorer information processing speed and executive functioning with relative preservation of episodic memory as demonstrated by principle component analysis (PCA) composite neuropsychology scores[7,8]   c) Increased MRI signs of small vessel disease[2,9-11]such as widespread bilateral white matter hyperintensities (WMH), enlarged perivascular spaces (PVS), lacunes and cerebral microbleeds.  Patients with greatest WMH volumes will carry the APOE E2 allele since this has been shown to have a modulating influence on WMH volume in CADASIL patients[12]   d) Higher prevalence of common vascular risk factors such as diabetes, hypertension, smoking.[13]    Note: Given the likely small number of NOTCH3 variants, we will use a demographically-matched approach to this analysis.  ","Structural Neuroimaging: White matter hyperintensities (WMH), lacunes, MRI-visible perivascular spaces (PVS), brain parenchymal fraction (BPF), supratentorial intracranial volume (ST-TIV)   Clinical: Basic demographics, PD medications, MDS-UPDRS, QIDS, GAD-7, MoCA, H&Y, PDQ-39 (QoL), FOG-Q, Falls assessment, S&E, NPI-Q, Brief symptom inventory, Modified Rankin Scale  Genomics: NOTCH3 rare, non-synonymous variants, APOE-E2 status  Neuropsychology: ONDRI Minimum Dataset",1. Correlations  2. Linear regression  3. ANOVA for group differences,"Whilst it is established that NOTCH3 mutations can lead to later-life parkinsonism, it is unclear whether it does so by causing idiopathic PD or whether it causes of different form of parkinsonism. This work could promote the importance of including this gene in genetic testing for PD patients. As well as having important pathophysiological relevance, this information would also be helpful in counselling the patients on future prognosis and likelihood of response to medications. "
